lat;lng;name;code;city;country;address
52.16383;18.83187;APTEKA; 62-641; ADAMIN; Poland;Adamin 41
52.34433;18.66706;APTEKA RODZINNA; 62-620; BABIAK; Poland;plac Wolności 10
52.34417;18.66593;APTEKA POD JEMIOŁĄ; 62-620; BABIAK; Poland;plac Wolności 13
52.43567;16.79778;PUNKT APTECZNY ; 62-081; BARANOWO; Poland;ulica Przemysława
51.22921;18.04283;PUNKT APTECZNY; 63-604; BARANÓW; Poland;ulica Leśna 29
52.2054;16.00571;APTEKA ARONIA; 64-231; BELĘCIN; Poland;Belęcin
53.09974;17.12105;APTEKA ŚW. ŁUKASZA; 89-340; BIAŁOŚLIWIE; Poland;ulica ks. Augustyna Kordeckiego 3
52.53819;16.9441099;APTEKA  RODZINNA; 62-003; BIEDRUSKO; Poland;ulica Poznańska
52.46767;17.1710299;APTEKA VARIA; 62-007; BISKUPICE; Poland;ulica Mieszka I 2
51.90461;18.01331;PUNKT APTECZNY STYLOWY; 62-814; BLIZANÓW; Poland;Blizanów Drugi 54
51.84677;17.07431;PUNKT APTECZNY MEDICA ; 63-820; BODZEWO; Poland;Bodzewo 70A
51.94308;16.47059;PUNKT APTECZNY BOGUSZYN; 63-040; BOGUSZYN; Poland;Boguszyn 1
51.70485;16.7468499;APTEKA POD WAGĄ; 63-940; BOJANOWO; Poland;ulica Dworcowa 20
52.4034;16.1224;APTEKA PANACEUM; 64-305; BOLEWICE; Poland;ulica Świebodzińska 36A
51.91335;17.23743;APTEKA ZIELONA; 63-810; BOREK WIELKOPOLSKI; Poland;ulica Droga Lisia 55
51.91704;17.2435;APTEKA; 63-810; BOREK WIELKOPOLSKI; Poland;Rynek 14
52.2797395;17.0430735;APTEKA DLA CIEBIE; 62-023; BORÓWIEC; Poland;ulica Szkolna 1C
52.2676299;16.13281;APTEKA ELIKSIR; 64-300; BORUJA KOŚCIELNA; Poland;plac Kościelny 9A
52.2668;16.13262;PUNKT APTECZNY MALWA; 64-306; BORUJA KOŚCIELNA; Poland;ulica Wolsztyńska 16
52.19872;17.66008;PUNKT APTECZNY NA  ZDROWIE; 62-307; BORZYKOWO; Poland;ulica Wrzesińska 79
51.90422;16.45154;PUNKT APTECZNY; 64-140; BOSZKOWO; Poland;ulica Dworcowa
51.28567;17.90308;APTEKA POD SŁOŃCEM; 63-640; BRALIN; Poland;ulica Wrocławska 48
